customer_id,p_treatment,p_control,uplift
CUST_006751,0.4852001,0.031585816,0.4536143
CUST_003264,0.46024513,0.0070083635,0.45323676
CUST_004624,0.48324424,0.030062564,0.45318168
CUST_004037,0.96738464,0.51652634,0.4508583
CUST_007729,0.5407197,0.09081864,0.44990104
CUST_007420,0.5808544,0.13316858,0.44768584
CUST_007451,0.7700691,0.32245788,0.44761124
CUST_000390,0.49822286,0.05125182,0.44697103
CUST_001795,0.53679216,0.09001297,0.4467792
CUST_002703,0.45949128,0.01396517,0.44552612
CUST_006469,0.77140385,0.32632533,0.44507852
CUST_002235,0.45261467,0.0076561635,0.4449585
CUST_007693,0.45895645,0.014666431,0.44429
CUST_007155,0.805587,0.36261314,0.44297385
CUST_006725,0.6804091,0.23746161,0.44294745
CUST_003192,0.4581103,0.015286589,0.4428237
CUST_000414,0.45877594,0.017045349,0.4417306
CUST_003054,0.87060577,0.4290371,0.44156867
CUST_005647,0.60519224,0.1651559,0.44003636
CUST_001031,0.8002804,0.3623438,0.4379366
CUST_007403,0.49842593,0.06239992,0.436026
CUST_007650,0.5250458,0.08946008,0.43558574
CUST_001568,0.92344207,0.4885297,0.43491235
CUST_000811,0.52753145,0.09653138,0.43100005
CUST_006718,0.45852137,0.027615575,0.4309058
CUST_008113,0.92172974,0.49188715,0.4298426
CUST_003677,0.5385981,0.11160264,0.4269955
CUST_002085,0.56247157,0.13970377,0.42276782
CUST_005384,0.6131039,0.19141589,0.42168802
CUST_007204,0.72709715,0.30549622,0.42160094
CUST_006184,0.42564777,0.0041837613,0.421464
CUST_000483,0.88424253,0.46285582,0.42138672
CUST_006713,0.44061232,0.019273577,0.42133874
CUST_007106,0.72038525,0.29981065,0.4205746
CUST_008214,0.8781728,0.45847213,0.41970068
CUST_001934,0.44023836,0.020882308,0.41935605
CUST_004186,0.43690458,0.017999396,0.4189052
CUST_006549,0.44664854,0.028472027,0.4181765
CUST_003443,0.59242135,0.1744875,0.41793385
CUST_003516,0.6946196,0.27698076,0.41763884
CUST_003223,0.6090397,0.19188923,0.4171505
CUST_000974,0.42821476,0.011072306,0.41714245
CUST_000329,0.43396866,0.016846303,0.41712236
CUST_004897,0.52464956,0.10967136,0.4149782
CUST_008233,0.46812305,0.054414622,0.41370842
CUST_004965,0.54227775,0.12896083,0.4133169
CUST_005247,0.5450598,0.1323213,0.4127385
CUST_002639,0.44178843,0.029103098,0.41268533
CUST_006874,0.43933752,0.030634506,0.40870303
CUST_005356,0.4422969,0.034345165,0.4079517
CUST_005123,0.4897605,0.08188085,0.40787965
CUST_006362,0.56417406,0.15733348,0.40684056
CUST_002815,0.45897007,0.052524537,0.40644553
CUST_007852,0.4530266,0.048098728,0.40492785
CUST_000139,0.4530266,0.048098728,0.40492785
CUST_004885,0.4217017,0.017482378,0.40421933
CUST_001467,0.5650168,0.16119796,0.40381885
CUST_001170,0.44087166,0.037239924,0.40363175
CUST_004826,0.7552741,0.351813,0.40346113
CUST_000353,0.43118888,0.027911214,0.40327767
CUST_006023,0.7122526,0.30912536,0.40312725
CUST_003510,0.52576303,0.124614105,0.40114892
CUST_001648,0.44786882,0.047054134,0.40081468
CUST_002278,0.6804704,0.2802523,0.4002181
CUST_000625,0.84505224,0.44700116,0.39805108
CUST_007478,0.4124995,0.015286589,0.3972129
CUST_007378,0.97435004,0.5772855,0.3970645
CUST_004619,0.4145738,0.017673265,0.39690053
CUST_008172,0.40795118,0.01165924,0.39629194
CUST_007100,0.4699693,0.07509784,0.39487147
CUST_001122,0.79266447,0.398021,0.39464346
CUST_004788,0.4940974,0.09957493,0.3945225
CUST_003697,0.41654682,0.0228899,0.3936569
CUST_000860,0.7157801,0.32219985,0.39358023
CUST_004460,0.42092633,0.027618904,0.39330742
CUST_001698,0.93072814,0.5375353,0.39319283
CUST_005373,0.84258705,0.45080256,0.3917845
CUST_007376,0.43073964,0.03944149,0.39129815
CUST_006273,0.6860388,0.29525706,0.39078173
CUST_007122,0.74015105,0.34948176,0.3906693
CUST_001923,0.85282576,0.46244776,0.390378
CUST_005175,0.6684749,0.27902198,0.38945293
CUST_003081,0.42012984,0.030704115,0.38942572
CUST_000869,0.4015268,0.012496283,0.38903052
CUST_005159,0.41851646,0.02992659,0.38858986
CUST_003021,0.47726965,0.088709116,0.38856053
CUST_007429,0.7391064,0.35146037,0.38764605
CUST_006768,0.39855716,0.012544312,0.38601285
CUST_008087,0.40141007,0.016388398,0.3850217
CUST_007667,0.3985377,0.014124532,0.38441315
CUST_001784,0.45944965,0.076361306,0.38308835
CUST_003018,0.7660091,0.38344175,0.38256735
CUST_004056,0.5615715,0.17964678,0.3819247
CUST_008192,0.48967507,0.109280705,0.38039437
CUST_000266,0.40072265,0.020455694,0.38026696
CUST_006575,0.491167,0.111110546,0.38005647
CUST_002320,0.77496886,0.39521384,0.37975502
CUST_002690,0.7378394,0.3592199,0.3786195
CUST_004085,0.40838,0.03017611,0.3782039
CUST_006251,0.38933536,0.012225942,0.3771094
CUST_002654,0.9474827,0.5711211,0.3763616
CUST_001334,0.4035395,0.027551815,0.3759877
CUST_007618,0.48271495,0.107813746,0.3749012
CUST_001876,0.39919963,0.024779724,0.3744199
CUST_000972,0.45452815,0.08040588,0.37412226
CUST_007142,0.38127357,0.009790863,0.3714827
CUST_003403,0.37365764,0.0027601647,0.37089747
CUST_007610,0.42893952,0.058439344,0.37050018
CUST_000611,0.4271815,0.056812804,0.37036872
CUST_000621,0.5030637,0.13317584,0.36988783
CUST_000966,0.79737586,0.42779267,0.3695832
CUST_001981,0.3933479,0.024027562,0.36932033
CUST_000327,0.3732681,0.0047628786,0.3685052
CUST_003022,0.512454,0.14445427,0.3679997
CUST_006104,0.4334831,0.06551728,0.36796582
CUST_000417,0.5469957,0.1799418,0.3670539
CUST_006253,0.40585065,0.03902565,0.36682498
CUST_006623,0.5361701,0.17000495,0.36616516
CUST_007137,0.3942303,0.029070407,0.3651599
CUST_001206,0.37251762,0.0077606714,0.36475694
CUST_002470,0.3958603,0.031421088,0.36443922
CUST_005530,0.3958603,0.031421088,0.36443922
CUST_005266,0.3958603,0.031421088,0.36443922
CUST_006591,0.3958603,0.031421088,0.36443922
CUST_003488,0.47005928,0.105916604,0.36414266
CUST_001728,0.4585135,0.09553941,0.36297408
CUST_001601,0.36814356,0.006604957,0.3615386
CUST_004168,0.38300446,0.022308415,0.36069605
CUST_002165,0.82408464,0.46341026,0.36067438
CUST_007054,0.3893388,0.02881262,0.36052617
CUST_001947,0.39523718,0.03502466,0.3602125
CUST_000273,0.5960916,0.23666027,0.35943136
CUST_001553,0.85767466,0.4994459,0.35822877
CUST_001382,0.39185962,0.034952573,0.35690704
CUST_001786,0.72519654,0.36830595,0.3568906
CUST_007835,0.45242074,0.096174434,0.3562463
CUST_004094,0.78189814,0.42640758,0.35549057
CUST_006257,0.41820893,0.06285281,0.35535613
CUST_007411,0.3879855,0.03288496,0.35510054
CUST_001305,0.5117472,0.15796594,0.35378122
CUST_001163,0.6887298,0.33511832,0.3536115
CUST_002796,0.38543007,0.032206383,0.35322368
CUST_003505,0.35723075,0.0043544467,0.3528763
CUST_001056,0.3681602,0.015556458,0.35260373
CUST_001006,0.5634229,0.212334,0.3510889
CUST_004302,0.39980495,0.04931863,0.3504863
CUST_002665,0.39980495,0.04931863,0.3504863
CUST_004189,0.6289216,0.2785775,0.35034412
CUST_006315,0.38422176,0.035167497,0.34905428
CUST_004477,0.38442978,0.035508536,0.34892124
CUST_001453,0.8018712,0.45348686,0.34838432
CUST_004416,0.38919494,0.04087341,0.34832153
CUST_006720,0.38210115,0.033780422,0.34832072
CUST_005440,0.6661644,0.31838897,0.34777543
CUST_001896,0.35639846,0.00892022,0.34747824
CUST_008088,0.4233625,0.076502666,0.3468598
CUST_001870,0.3794311,0.03314848,0.34628263
CUST_004720,0.8586102,0.5132663,0.3453439
CUST_003878,0.3492266,0.0039788913,0.34524772
CUST_000632,0.39450493,0.049325928,0.34517902
CUST_005831,0.35984817,0.014700174,0.345148
CUST_007559,0.3577625,0.012665099,0.3450974
CUST_006108,0.866844,0.522162,0.34468198
CUST_004127,0.86002904,0.5156287,0.34440035
CUST_007180,0.86002904,0.5156287,0.34440035
CUST_004399,0.40490463,0.06054817,0.34435648
CUST_007969,0.46056047,0.116265014,0.34429544
CUST_005970,0.34859082,0.0045208395,0.34407
CUST_002343,0.36065757,0.016684508,0.34397307
CUST_006283,0.37814167,0.034395933,0.34374574
CUST_000825,0.38962382,0.04620456,0.34341925
CUST_004418,0.3520717,0.01000328,0.34206843
CUST_003737,0.39253026,0.05069125,0.34183902
CUST_001656,0.35432667,0.012930924,0.34139574
CUST_001726,0.38712475,0.045763653,0.3413611
CUST_003785,0.3962104,0.05528725,0.34092316
CUST_002315,0.36945757,0.029017566,0.34044
CUST_005222,0.3713892,0.031096013,0.3402932
CUST_002743,0.3674015,0.027200643,0.34020087
CUST_002458,0.8513694,0.5114439,0.33992547
CUST_006287,0.35793948,0.018513488,0.33942598
CUST_004705,0.9054684,0.567217,0.3382514
CUST_006613,0.3584039,0.020384762,0.33801913
CUST_000126,0.33997753,0.0022357416,0.3377418
CUST_003490,0.35320014,0.015658114,0.33754203
CUST_004131,0.36323786,0.026075196,0.33716267
CUST_006132,0.36159697,0.024515023,0.33708194
CUST_001612,0.39359224,0.056873787,0.33671844
CUST_000178,0.6907256,0.35453558,0.33619004
CUST_002530,0.40388408,0.067928374,0.3359557
CUST_006552,0.3391715,0.0038323796,0.33533913
CUST_005198,0.36517128,0.030682111,0.33448917
CUST_005311,0.5685982,0.2341199,0.33447832
CUST_005161,0.3383865,0.003935676,0.33445084
CUST_002531,0.375031,0.041094404,0.3339366
CUST_004270,0.45246875,0.118536636,0.3339321
CUST_006109,0.38184774,0.04815623,0.3336915
CUST_002054,0.3925719,0.058960583,0.3336113
CUST_001346,0.563401,0.22989066,0.33351034
CUST_005299,0.5672797,0.23378628,0.3334934
CUST_003457,0.39848298,0.06505806,0.33342493
CUST_004226,0.3599682,0.026703922,0.33326426
CUST_007697,0.35523394,0.021989651,0.3332443
CUST_006432,0.3700811,0.037664853,0.33241624
CUST_007987,0.36293438,0.031001385,0.331933
CUST_003656,0.39035255,0.058469657,0.3318829
CUST_004335,0.40173158,0.070567146,0.33116442
CUST_000192,0.887271,0.55627114,0.33099985
CUST_003620,0.3709305,0.040274907,0.33065557
CUST_004669,0.33381042,0.004218411,0.32959202
CUST_003492,0.4905863,0.16103016,0.32955617
CUST_007463,0.44499576,0.11552194,0.32947382
CUST_006601,0.5623972,0.23296623,0.32943094
CUST_007304,0.46710074,0.1376805,0.32942024
CUST_000075,0.38011762,0.051218517,0.32889912
CUST_003537,0.34269783,0.014116972,0.32858086
CUST_008157,0.3446054,0.016507208,0.32809818
CUST_008049,0.43336034,0.105424985,0.32793534
CUST_004728,0.4711999,0.1434774,0.3277225
CUST_002698,0.3446065,0.016959438,0.32764706
CUST_003902,0.34305772,0.015804663,0.32725304
CUST_005020,0.35318682,0.026193544,0.3269933
CUST_007157,0.37575793,0.048821606,0.32693633
CUST_002825,0.4721652,0.14617899,0.3259862
CUST_008121,0.5864779,0.26050502,0.32597286
CUST_003421,0.836279,0.5104212,0.32585776
CUST_008111,0.76967627,0.44481915,0.32485712
CUST_001183,0.9915835,0.66685575,0.32472777
CUST_000059,0.6084745,0.28387666,0.32459784
CUST_006031,0.34367412,0.019193877,0.32448024
CUST_000971,0.36171445,0.037899207,0.32381526
CUST_006673,0.3335801,0.009939858,0.32364026
CUST_004066,0.34851563,0.025112092,0.32340354
CUST_005885,0.3294907,0.0062884567,0.32320222
CUST_007166,0.6086596,0.28569168,0.32296795
CUST_001012,0.38645226,0.063503444,0.3229488
CUST_007170,0.6896208,0.36735755,0.32226324
CUST_002460,0.35552886,0.03426633,0.32126254
CUST_005897,0.45723236,0.13603605,0.32119632
CUST_004800,0.4012958,0.08057574,0.32072008
CUST_002436,0.4012958,0.08057574,0.32072008
CUST_000134,0.4550873,0.13469692,0.3203904
CUST_008165,0.368651,0.04835679,0.3202942
CUST_007658,0.37571594,0.0554227,0.32029325
CUST_007953,0.34787247,0.027611712,0.32026076
CUST_001837,0.352499,0.032490674,0.32000834
CUST_000351,0.32719293,0.0073901233,0.31980282
CUST_006207,0.36243457,0.042906374,0.3195282
CUST_000930,0.3240994,0.005223834,0.31887555
CUST_001806,0.3851074,0.066727705,0.3183797
CUST_002021,0.6900961,0.37175903,0.31833705
CUST_000970,0.51768774,0.19948262,0.31820512
CUST_002932,0.49385738,0.1759031,0.3179543
CUST_000640,0.37940162,0.061863765,0.31753784
CUST_001435,0.4961911,0.17890143,0.31728968
CUST_003316,0.31870145,0.0015153433,0.31718612
CUST_006150,0.43897957,0.1225335,0.31644607
CUST_005909,0.48533434,0.16917554,0.3161588
CUST_005056,0.58091116,0.2649718,0.31593937
CUST_002852,0.35359928,0.03789812,0.31570116
CUST_002023,0.340103,0.02487725,0.31522575
CUST_001041,0.37338156,0.058179494,0.31520206
CUST_000023,0.4540842,0.13903782,0.31504637
CUST_002527,0.41268215,0.09801479,0.31466734
CUST_001494,0.33859617,0.024037333,0.31455883
CUST_007001,0.36011955,0.045968916,0.31415063
CUST_007391,0.58279467,0.26873028,0.31406438
CUST_001249,0.35364464,0.03973777,0.31390688
CUST_000745,0.34177577,0.028027784,0.313748
CUST_004144,0.38185892,0.068302706,0.3135562
CUST_004064,0.3578221,0.04457967,0.31324244
CUST_008052,0.32168695,0.008610657,0.3130763
CUST_001597,0.34957024,0.03656556,0.31300467
CUST_003324,0.33812177,0.025704784,0.312417
CUST_004830,0.33581108,0.023900537,0.31191054
CUST_001926,0.3412751,0.029443018,0.31183207
CUST_001500,0.45119205,0.14107208,0.31012
CUST_005712,0.32497036,0.015032092,0.30993828
CUST_007356,0.48044065,0.17079484,0.3096458
CUST_006297,0.33944654,0.030776957,0.3086696
CUST_007574,0.31327495,0.0046355864,0.30863938
CUST_006348,0.5173019,0.21014972,0.3071522
CUST_002911,0.35673252,0.05002105,0.30671147
CUST_007666,0.3736156,0.06747138,0.3061442
CUST_000010,0.341262,0.036427453,0.30483454
CUST_001696,0.5621826,0.25768661,0.304496
CUST_000200,0.3084481,0.0041026385,0.30434546
CUST_002002,0.36528534,0.061045863,0.30423948
CUST_000015,0.38240713,0.07835247,0.30405465
CUST_006770,0.31459486,0.010857817,0.30373704
CUST_006119,0.8539134,0.55053604,0.3033774
CUST_007785,0.35537118,0.052172467,0.3031987
CUST_004508,0.3207712,0.017854959,0.30291623
CUST_001680,0.3793648,0.076507024,0.30285776
CUST_004020,0.36970285,0.066878475,0.30282438
CUST_004456,0.4317927,0.12933272,0.30245999
CUST_002385,0.4317927,0.12933272,0.30245999
CUST_007958,0.35777918,0.055511925,0.30226725
CUST_007741,0.316396,0.014361369,0.30203462
CUST_000169,0.41136283,0.11015171,0.30121112
CUST_007129,0.39104846,0.08988414,0.30116433
CUST_003221,0.3138967,0.012848414,0.30104828
CUST_000870,0.65659654,0.35555103,0.3010455
CUST_007638,0.31751597,0.016559403,0.30095658
CUST_006199,0.3490687,0.048138835,0.30092987
CUST_006990,0.34697232,0.046130303,0.30084202
CUST_008114,0.34697232,0.046130303,0.30084202
CUST_001986,0.36802575,0.06722038,0.30080536
CUST_005303,0.3442153,0.043443963,0.30077136
CUST_007599,0.31344584,0.012932112,0.3005137
CUST_007332,0.3177163,0.017510206,0.3002061
CUST_007716,0.3005387,0.0005749303,0.29996377
CUST_005318,0.37122583,0.07137646,0.2998494
CUST_008012,0.32930264,0.029778695,0.29952395
CUST_005418,0.310243,0.010734899,0.29950812
CUST_003544,0.310243,0.010734899,0.29950812
CUST_005323,0.310243,0.010734899,0.29950812
CUST_002399,0.33925486,0.04023964,0.29901522
CUST_001103,0.33085436,0.032306664,0.2985477
CUST_005415,0.3412409,0.043580133,0.29766077
CUST_003691,0.31261414,0.0150048,0.29760933
CUST_005746,0.30499935,0.007598466,0.2974009
CUST_006372,0.31870237,0.021308856,0.2973935
CUST_006550,0.5092912,0.21205872,0.29723245
CUST_000394,0.7353449,0.4382695,0.2970754
CUST_007548,0.3102942,0.013476192,0.29681802
CUST_004118,0.6516753,0.3551442,0.29653108
CUST_001917,0.33427072,0.038112964,0.29615775
CUST_000987,0.32305095,0.027390167,0.2956608
CUST_003198,0.3304099,0.034757152,0.29565275
CUST_007107,0.32364354,0.028234465,0.29540908
CUST_004090,0.31615302,0.020895759,0.29525727
CUST_006250,0.34470928,0.049667187,0.2950421
CUST_005866,0.34967306,0.05492019,0.29475287
CUST_000392,0.44231424,0.14774112,0.29457313
CUST_006274,0.39356205,0.09963677,0.2939253
CUST_004541,0.3338011,0.040128037,0.29367304
CUST_006345,0.3153028,0.02183903,0.29346377
CUST_006667,0.34964213,0.056420486,0.29322165
CUST_007288,0.3091511,0.016118815,0.2930323
CUST_005250,0.31596017,0.02316956,0.29279062
CUST_001825,0.31572735,0.02333725,0.2923901
CUST_004950,0.34880444,0.05643826,0.29236618
CUST_007959,0.38651386,0.09441904,0.29209483
CUST_003171,0.31819662,0.026372813,0.2918238
CUST_001750,0.36326978,0.071452536,0.29181725
CUST_004414,0.70549625,0.41387013,0.29162613
CUST_004751,0.3035993,0.012157262,0.29144204
CUST_006939,0.37908006,0.087729916,0.29135013
CUST_002752,0.35597342,0.0647846,0.29118884
CUST_007351,0.30302957,0.01214764,0.29088193
CUST_004214,0.43389782,0.14326724,0.29063058
CUST_004825,0.31577042,0.02536148,0.29040894
CUST_004329,0.3387836,0.04855516,0.29022843
CUST_007948,0.3048904,0.014872875,0.29001752
CUST_004998,0.34559238,0.05559386,0.28999853
CUST_001203,0.40526283,0.11575181,0.28951102
CUST_005640,0.30850184,0.019146465,0.28935537
CUST_005702,0.46721613,0.17789137,0.28932476
CUST_001319,0.5676222,0.27835476,0.28926742
CUST_004847,0.42488435,0.13563612,0.28924823
CUST_002490,0.7209747,0.43174836,0.28922632
CUST_006249,0.4788812,0.1897992,0.289082
CUST_001316,0.3332943,0.044642154,0.28865215
CUST_007221,0.3298662,0.042779792,0.2870864
CUST_003385,0.38023418,0.09331717,0.286917
CUST_005923,0.8908943,0.60405314,0.28684115
CUST_004677,0.6319843,0.34540674,0.28657755
CUST_005954,0.29978865,0.013666493,0.28612217
CUST_000563,0.45093682,0.1654175,0.2855193
CUST_003049,0.31301615,0.027824419,0.2851917
CUST_006136,0.3227839,0.037672855,0.28511104
CUST_002997,0.370937,0.08636691,0.2845701
CUST_005340,0.36323938,0.07917833,0.28406104
CUST_006075,0.35525417,0.07152168,0.2837325
CUST_007453,0.40000573,0.11727225,0.28273347
CUST_000498,0.28758073,0.005173672,0.28240705
CUST_001017,0.30474904,0.022440918,0.28230813
CUST_008067,0.286845,0.004904442,0.28194055
CUST_003717,0.29687715,0.014941729,0.28193542
CUST_002422,0.92343825,0.64185333,0.28158492
CUST_006161,0.3007913,0.019223742,0.28156754
CUST_001284,0.29852805,0.017237574,0.28129047
CUST_001714,0.3111999,0.02992331,0.28127658
CUST_006247,0.5071291,0.2258809,0.28124815
CUST_008131,0.5297765,0.24910906,0.28066745
CUST_000121,0.32525063,0.044844065,0.28040656
CUST_004661,0.29395163,0.013596551,0.28035507
CUST_004676,0.30949202,0.02926674,0.28022528
CUST_001744,0.30279243,0.022783168,0.28000927
CUST_005355,0.83236724,0.55240756,0.27995968
CUST_002276,0.30023488,0.020821778,0.2794131
CUST_003862,0.3129771,0.03431648,0.27866063
CUST_005448,0.32768983,0.049148936,0.27854088
CUST_003700,0.6303344,0.35197055,0.27836382
CUST_007633,0.28652632,0.008433161,0.27809316
CUST_003132,0.33939376,0.061306983,0.27808678
CUST_003436,0.2947147,0.016648747,0.27806595
CUST_001138,0.33600122,0.057993755,0.27800745
CUST_003486,0.5966638,0.3189948,0.27766898
CUST_000698,0.29760867,0.020041283,0.2775674
CUST_002413,0.3127082,0.035403937,0.27730426
CUST_000890,0.29983345,0.022752682,0.27708077
CUST_003075,0.40168855,0.124729,0.27695954
CUST_001560,0.5088848,0.23200676,0.27687803
CUST_004334,0.30109024,0.02435847,0.27673176
CUST_001119,0.43290606,0.15631111,0.27659494
CUST_004428,0.30471104,0.028766043,0.275945
CUST_002720,0.29231974,0.016466392,0.27585337
CUST_001991,0.31679747,0.041181985,0.27561548
CUST_004048,0.301654,0.026321467,0.27533254
CUST_000629,0.43649217,0.16169949,0.27479267
CUST_006923,0.29238436,0.017613009,0.27477133
CUST_007867,0.2859753,0.011797033,0.27417827
CUST_005569,0.3088022,0.034673125,0.27412906
CUST_002006,0.30497015,0.031035013,0.27393514
CUST_001765,0.3153782,0.041917358,0.27346084
CUST_007844,0.6826778,0.40924966,0.27342814
CUST_005497,0.29605874,0.023016326,0.2730424
CUST_001785,0.34967208,0.07667109,0.273001
CUST_003155,0.28272322,0.0097845225,0.2729387
CUST_005542,0.30180097,0.02886598,0.27293497
CUST_000883,0.30229387,0.029387731,0.27290612
CUST_004465,0.28662604,0.0138063915,0.27281964
CUST_005098,0.5891891,0.31664962,0.2725395
CUST_005138,0.30701163,0.034591842,0.27241978
CUST_006650,0.42565215,0.15335307,0.27229908
CUST_001214,0.28536487,0.013714603,0.27165025
CUST_002638,0.27697623,0.005536703,0.27143952
CUST_002853,0.67123556,0.39980447,0.2714311
CUST_005725,0.28531915,0.013943275,0.27137586
CUST_003341,0.6765542,0.40529475,0.27125946
CUST_006953,0.37704483,0.10588453,0.2711603
CUST_004936,0.31857818,0.047510423,0.27106777
CUST_000014,0.2790491,0.007992198,0.2710569
CUST_006802,0.31732908,0.046451148,0.27087793
CUST_004913,0.31632644,0.045460686,0.27086574
CUST_001599,0.43863425,0.16779485,0.2708394
CUST_007774,0.2762014,0.0057389005,0.27046248
CUST_002133,0.29834294,0.028044313,0.27029863
CUST_003309,0.7546035,0.48444298,0.27016053
CUST_002890,0.274402,0.004298337,0.27010366
CUST_005150,0.28751618,0.017714905,0.26980126
CUST_001540,0.2876718,0.018267177,0.26940462
CUST_001273,0.7228128,0.45377064,0.26904213
CUST_007413,0.32760185,0.058675222,0.26892662
CUST_001802,0.30764896,0.038750622,0.26889834
CUST_005603,0.32155758,0.052933276,0.2686243
CUST_001158,0.31011388,0.04155888,0.268555
CUST_003252,0.2823922,0.013923922,0.2684683
