age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,probability,rank
81,unknown,divorced,unknown,unknown,yes,no,cellular,nov,mon,1,999,1,failure,-3.4,92.649,-30.1,0.715,5017.5,0.7801075,31
78,retired,divorced,unknown,no,no,no,cellular,jun,thu,1,999,0,nonexistent,-1.7,94.055,-39.8,0.729,4991.6,0.77640885,32
42,technician,married,professional.course,no,yes,yes,cellular,oct,mon,1,6,1,success,-1.1,94.601,-49.5,1.0,4963.6,0.77031004,33
47,services,divorced,university.degree,no,yes,yes,cellular,may,tue,1,15,3,failure,-1.8,93.876,-40.0,0.688,5008.7,0.76406467,34
20,student,single,high.school,no,yes,no,cellular,nov,wed,1,7,1,success,-3.4,92.649,-30.1,0.715,5017.5,0.75970054,35
33,admin.,married,university.degree,no,no,no,cellular,oct,fri,1,999,0,nonexistent,-0.1,93.798,-40.4,4.76,5195.8,0.7527385,36
36,self-employed,single,university.degree,no,yes,no,telephone,oct,thu,1,999,0,nonexistent,-0.1,93.798,-40.4,4.794,5195.8,0.7468906,37
26,management,single,university.degree,no,yes,no,cellular,oct,tue,1,6,1,success,-3.4,92.431,-26.9,0.728,5017.5,0.74258816,38
19,student,single,basic.6y,no,no,no,cellular,mar,tue,1,999,0,nonexistent,-1.8,92.843,-50.0,1.556,5099.1,0.7342293,39
62,technician,married,unknown,no,no,no,cellular,jul,mon,2,999,2,failure,-1.7,94.215,-40.3,0.827,4991.6,0.7271614,40
62,blue-collar,married,high.school,no,yes,no,cellular,jun,mon,4,4,3,success,-1.7,94.055,-39.8,0.754,4991.6,0.7113288,41
24,student,single,unknown,no,yes,no,cellular,aug,fri,1,6,1,success,-2.9,92.201,-31.4,0.849,5076.2,0.70744365,42
33,housemaid,married,high.school,no,no,no,telephone,oct,tue,1,999,0,nonexistent,-0.1,93.798,-40.4,4.968,5195.8,0.7068935,43
29,admin.,single,high.school,no,no,no,telephone,oct,thu,2,6,1,success,-1.1,94.601,-49.5,1.025,4963.6,0.7067121,44
36,admin.,married,university.degree,no,yes,no,cellular,apr,thu,1,0,1,success,-1.8,93.075,-47.1,1.365,5099.1,0.7064344,45
61,retired,married,basic.4y,no,yes,no,cellular,aug,fri,1,15,1,success,-2.9,92.201,-31.4,0.849,5076.2,0.7028447,46
51,services,married,basic.6y,no,no,no,cellular,apr,thu,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,0.7008159,47
88,retired,divorced,basic.4y,no,yes,no,cellular,mar,wed,3,999,0,nonexistent,-1.8,92.843,-50.0,1.663,5099.1,0.6985147,48
26,technician,single,professional.course,no,yes,no,cellular,jun,tue,2,3,1,success,-2.9,92.963,-40.8,1.262,5076.2,0.6982049,49
51,admin.,divorced,high.school,no,yes,yes,cellular,nov,tue,2,6,4,failure,-1.1,94.767,-50.8,1.049,4963.6,0.68755037,50
29,services,single,high.school,no,no,no,cellular,jun,wed,2,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,0.68298423,51
65,retired,married,basic.4y,no,yes,no,cellular,mar,tue,1,999,0,nonexistent,-1.8,93.369,-34.8,0.646,5008.7,0.68254495,52
66,retired,married,professional.course,no,no,no,cellular,mar,tue,1,999,0,nonexistent,-1.8,93.369,-34.8,0.655,5008.7,0.68059444,53
85,retired,single,professional.course,no,no,no,cellular,mar,fri,7,7,2,success,-1.8,93.369,-34.8,0.653,5008.7,0.6736519,54
32,technician,married,professional.course,no,no,no,cellular,oct,wed,1,999,0,nonexistent,-1.1,94.601,-49.5,0.959,4963.6,0.6579028,55
61,management,married,university.degree,no,no,no,cellular,may,wed,2,999,1,failure,-1.8,93.876,-40.0,0.682,5008.7,0.65740556,56
38,admin.,single,basic.9y,no,no,no,cellular,may,thu,2,999,0,nonexistent,-1.8,93.876,-40.0,0.699,5008.7,0.6542713,57
43,admin.,married,university.degree,no,yes,no,cellular,jun,wed,2,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,0.65421736,58
33,technician,married,professional.course,no,no,no,cellular,sep,wed,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,0.65154266,59
66,retired,married,high.school,no,unknown,unknown,cellular,mar,tue,3,999,1,failure,-1.8,93.369,-34.8,0.646,5008.7,0.6477842,60
28,admin.,married,high.school,no,no,yes,cellular,may,wed,2,999,0,nonexistent,-1.8,93.876,-40.0,0.697,5008.7,0.64368165,61
29,admin.,single,high.school,no,no,no,cellular,jul,tue,1,999,0,nonexistent,-1.7,94.215,-40.3,0.797,4991.6,0.6375855,62
69,entrepreneur,married,high.school,no,no,no,cellular,jun,wed,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0.6356562,63
52,admin.,married,university.degree,no,yes,no,cellular,may,thu,2,999,0,nonexistent,-1.8,93.876,-40.0,0.677,5008.7,0.62110734,64
26,technician,single,university.degree,no,no,no,cellular,oct,wed,1,999,0,nonexistent,-1.1,94.601,-49.5,0.959,4963.6,0.60918415,65
52,admin.,married,university.degree,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,-1.7,94.027,-38.3,0.9,4991.6,0.5916709,66
88,retired,divorced,basic.4y,no,yes,no,cellular,oct,wed,1,999,0,nonexistent,-3.4,92.431,-26.9,0.735,5017.5,0.5873289,67
37,admin.,married,university.degree,no,yes,no,cellular,nov,fri,1,999,0,nonexistent,-1.1,94.767,-50.8,1.04,4963.6,0.5863679,68
78,retired,married,basic.4y,no,yes,no,cellular,apr,tue,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0.57892525,69
77,retired,divorced,professional.course,no,no,no,cellular,aug,mon,1,999,0,nonexistent,-1.7,94.027,-38.3,0.898,4991.6,0.5738368,70
63,housemaid,married,basic.4y,no,yes,no,telephone,aug,mon,1,6,2,failure,-2.9,92.201,-31.4,0.884,5076.2,0.573781,71
32,self-employed,single,university.degree,no,yes,no,cellular,jul,thu,1,14,1,success,-2.9,92.469,-33.6,1.072,5076.2,0.57198244,72
26,technician,divorced,university.degree,no,yes,no,cellular,jun,tue,1,3,1,success,-2.9,92.963,-40.8,1.262,5076.2,0.5703856,73
29,self-employed,married,university.degree,no,yes,no,cellular,mar,wed,3,999,0,nonexistent,-1.8,92.843,-50.0,1.663,5099.1,0.5678692,74
71,housemaid,married,basic.4y,no,yes,no,cellular,nov,tue,2,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,0.5671848,75
38,technician,married,university.degree,no,no,no,cellular,mar,tue,2,999,2,failure,-1.8,92.843,-50.0,1.687,5099.1,0.56536263,76
58,housemaid,single,professional.course,no,no,yes,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.749,-34.6,0.64,5008.7,0.5648034,77
27,technician,single,university.degree,no,no,no,cellular,oct,wed,2,999,0,nonexistent,-1.1,94.601,-49.5,1.043,4963.6,0.5645949,78
33,technician,single,professional.course,no,yes,no,cellular,mar,tue,1,999,0,nonexistent,-1.8,93.369,-34.8,0.646,5008.7,0.56136465,79
51,blue-collar,married,basic.6y,no,yes,no,cellular,apr,wed,2,999,0,nonexistent,-1.8,93.075,-47.1,1.372,5099.1,0.5551795,80
30,technician,married,university.degree,no,yes,yes,cellular,jul,mon,4,999,0,nonexistent,-1.7,94.215,-40.3,0.87,4991.6,0.5538161,81
35,admin.,married,high.school,no,yes,no,cellular,mar,tue,3,999,0,nonexistent,-1.8,92.843,-50.0,1.799,5099.1,0.5525985,82
27,admin.,single,university.degree,no,no,no,cellular,mar,tue,1,999,0,nonexistent,-1.8,93.369,-34.8,0.637,5008.7,0.5478256,83
31,technician,married,professional.course,no,yes,no,cellular,jun,tue,3,11,2,failure,-2.9,92.963,-40.8,1.252,5076.2,0.5474494,84
70,retired,married,unknown,no,no,no,telephone,mar,mon,2,7,2,success,-1.8,93.369,-34.8,0.639,5008.7,0.5462228,85
61,admin.,married,high.school,no,yes,no,cellular,apr,tue,1,999,1,failure,-1.8,93.749,-34.6,0.638,5008.7,0.5451379,86
21,management,single,university.degree,no,unknown,unknown,cellular,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,0.5415443,87
35,admin.,married,professional.course,no,yes,no,cellular,may,mon,2,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,0.5405653,88
53,management,divorced,university.degree,no,no,no,cellular,jun,mon,1,999,0,nonexistent,-1.7,94.055,-39.8,0.754,4991.6,0.5382375,89
37,unemployed,married,university.degree,no,yes,no,cellular,mar,tue,1,999,0,nonexistent,-1.8,92.843,-50.0,1.614,5099.1,0.537702,90
35,management,divorced,university.degree,no,yes,yes,cellular,jun,tue,2,12,2,success,-1.7,94.055,-39.8,0.723,4991.6,0.5363841,91
61,management,married,professional.course,no,no,no,cellular,sep,tue,1,999,0,nonexistent,-1.1,94.199,-37.5,0.877,4963.6,0.5315079,92
63,retired,married,professional.course,no,yes,no,cellular,may,mon,1,999,0,nonexistent,-1.8,93.876,-40.0,0.685,5008.7,0.5310682,93
29,admin.,married,university.degree,no,yes,no,cellular,jul,mon,3,999,0,nonexistent,-1.7,94.215,-40.3,0.87,4991.6,0.5300181,94
29,services,married,high.school,no,no,no,cellular,oct,tue,1,999,1,failure,-3.4,92.431,-26.9,0.728,5017.5,0.52952987,95
67,retired,married,basic.4y,no,no,no,telephone,nov,mon,1,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,0.52568823,96
78,retired,divorced,basic.6y,no,no,no,cellular,oct,fri,2,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,0.52546996,97
28,admin.,single,high.school,no,yes,no,cellular,mar,fri,2,999,0,nonexistent,-1.8,92.843,-50.0,1.531,5099.1,0.5247786,98
56,unknown,married,basic.4y,no,no,no,cellular,oct,tue,1,2,2,success,-3.4,92.431,-26.9,0.744,5017.5,0.52017605,99
28,admin.,single,high.school,no,yes,no,cellular,mar,thu,4,999,0,nonexistent,-1.8,92.843,-50.0,1.538,5099.1,0.5193155,100
26,student,single,high.school,no,yes,no,cellular,aug,fri,2,6,2,failure,-2.9,92.201,-31.4,0.825,5076.2,0.5103693,101
33,admin.,single,university.degree,no,yes,yes,cellular,mar,tue,1,999,0,nonexistent,-1.8,92.843,-50.0,1.614,5099.1,0.5092523,102
32,admin.,single,university.degree,no,yes,no,cellular,dec,tue,2,999,0,nonexistent,-3.0,92.713,-33.0,0.707,5023.5,0.50245386,103
26,management,single,university.degree,no,yes,no,cellular,mar,thu,1,999,0,nonexistent,-1.8,92.843,-50.0,1.65,5099.1,0.50232047,104
45,admin.,single,university.degree,no,unknown,unknown,cellular,nov,tue,3,999,1,failure,-3.4,92.649,-30.1,0.715,5017.5,0.5015382,105
47,blue-collar,married,basic.9y,no,no,no,cellular,jun,tue,1,999,0,nonexistent,-1.7,94.055,-39.8,0.713,4991.6,0.5012249,106
26,technician,single,basic.9y,no,yes,no,cellular,sep,thu,1,999,1,failure,-1.1,94.199,-37.5,0.879,4963.6,0.49986818,107
34,technician,single,university.degree,no,no,no,cellular,oct,fri,1,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,0.49931642,108
74,retired,married,unknown,no,yes,yes,cellular,oct,wed,1,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,0.49732673,109
40,admin.,married,university.degree,no,no,no,cellular,nov,thu,1,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,0.4945699,110
30,housemaid,single,university.degree,no,no,no,cellular,sep,thu,2,999,0,nonexistent,-1.1,94.199,-37.5,0.878,4963.6,0.49349236,111
26,student,single,high.school,no,no,no,cellular,mar,thu,1,999,0,nonexistent,-1.8,92.843,-50.0,1.538,5099.1,0.49296176,112
27,student,single,basic.9y,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,-1.7,94.027,-38.3,0.9,4991.6,0.4877382,113
54,retired,married,basic.4y,no,no,yes,cellular,oct,thu,2,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,0.48121205,114
57,admin.,single,high.school,no,unknown,unknown,telephone,oct,tue,1,999,0,nonexistent,-3.4,92.431,-26.9,0.737,5017.5,0.4808061,115
32,management,single,university.degree,no,yes,no,cellular,mar,tue,1,999,0,nonexistent,-1.8,92.843,-50.0,1.687,5099.1,0.47599024,116
20,student,single,unknown,no,yes,no,cellular,jun,wed,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0.47273555,117
64,housemaid,married,unknown,no,yes,no,telephone,may,wed,3,999,0,nonexistent,-1.8,93.876,-40.0,0.697,5008.7,0.47244188,118
24,blue-collar,single,basic.9y,no,no,no,cellular,oct,mon,1,6,1,success,-1.1,94.601,-49.5,0.977,4963.6,0.4720765,119
31,unemployed,single,high.school,no,yes,no,cellular,jun,thu,3,999,0,nonexistent,-1.7,94.055,-39.8,0.742,4991.6,0.46803635,120
60,housemaid,married,basic.4y,no,yes,no,cellular,jun,tue,3,999,1,failure,-1.7,94.055,-39.8,0.723,4991.6,0.4673586,121
48,technician,divorced,university.degree,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0.46729392,122
47,admin.,single,university.degree,no,no,no,cellular,nov,tue,1,999,0,nonexistent,-3.4,92.649,-30.1,0.72,5017.5,0.46719632,123
39,technician,single,university.degree,unknown,yes,no,cellular,oct,fri,1,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,0.46677512,124
35,blue-collar,married,basic.9y,no,yes,no,telephone,oct,tue,1,999,0,nonexistent,-0.1,93.798,-40.4,4.968,5195.8,0.46258873,125
43,admin.,married,high.school,no,no,yes,cellular,dec,mon,2,8,2,failure,-3.0,92.713,-33.0,0.717,5023.5,0.46008533,126
30,admin.,single,university.degree,no,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0.45994398,127
30,admin.,single,university.degree,no,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0.45994398,128
21,student,single,high.school,no,yes,yes,cellular,aug,tue,1,999,0,nonexistent,-2.9,92.201,-31.4,0.884,5076.2,0.45664734,129
25,unemployed,married,high.school,no,no,no,cellular,jun,thu,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0.4537372,130
35,admin.,married,university.degree,no,yes,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.749,-34.6,0.642,5008.7,0.45045125,131
23,student,single,unknown,no,no,no,cellular,jul,tue,1,999,2,failure,-1.7,94.215,-40.3,0.893,4991.6,0.44906232,132
54,admin.,married,university.degree,no,yes,yes,cellular,nov,tue,1,999,0,nonexistent,-3.4,92.649,-30.1,0.72,5017.5,0.44835103,133
27,admin.,single,university.degree,no,yes,yes,cellular,sep,wed,1,999,0,nonexistent,-3.4,92.379,-29.8,0.781,5017.5,0.44824627,134
58,technician,married,basic.9y,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,0.443172,135
30,admin.,single,high.school,no,no,no,telephone,aug,thu,1,22,1,success,-1.7,94.027,-38.3,0.899,4991.6,0.44086373,136
45,technician,married,university.degree,no,yes,no,cellular,nov,wed,1,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,0.43991023,137
26,admin.,single,university.degree,no,no,yes,cellular,jun,thu,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0.43960646,138
35,admin.,married,university.degree,no,yes,no,cellular,mar,mon,4,999,0,nonexistent,-1.8,92.843,-50.0,1.811,5099.1,0.43841785,139
24,student,single,high.school,no,no,yes,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0.43820164,140
20,student,single,unknown,no,yes,yes,cellular,apr,tue,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0.4364452,141
59,retired,divorced,basic.4y,no,no,yes,cellular,jul,mon,3,999,2,failure,-1.7,94.215,-40.3,0.827,4991.6,0.43417284,142
49,unemployed,married,high.school,no,no,no,cellular,sep,wed,1,999,0,nonexistent,-3.4,92.379,-29.8,0.768,5017.5,0.4325762,143
46,technician,married,unknown,no,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0.43102834,144
28,student,single,high.school,no,yes,no,cellular,jun,fri,3,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,0.4192205,145
36,unemployed,married,professional.course,no,yes,no,cellular,apr,thu,7,999,0,nonexistent,-1.8,93.749,-34.6,0.659,5008.7,0.4186162,146
24,technician,single,professional.course,no,no,no,cellular,jun,tue,2,999,1,failure,-2.9,92.963,-40.8,1.262,5076.2,0.4171452,147
29,technician,single,professional.course,no,no,yes,telephone,sep,thu,2,18,1,success,-1.1,94.199,-37.5,0.879,4963.6,0.41177335,148
26,admin.,single,high.school,no,no,no,cellular,aug,wed,4,999,0,nonexistent,-2.9,92.201,-31.4,0.854,5076.2,0.40970966,149
31,admin.,single,high.school,no,no,no,cellular,jun,wed,3,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0.40860984,150
24,admin.,single,university.degree,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,-2.9,92.201,-31.4,0.851,5076.2,0.4080888,151
26,technician,single,professional.course,no,yes,no,cellular,jun,wed,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0.40724376,152
32,admin.,single,professional.course,no,yes,yes,cellular,mar,tue,1,999,0,nonexistent,-1.8,92.843,-50.0,1.614,5099.1,0.40643695,153
44,unemployed,married,high.school,no,yes,no,cellular,aug,thu,1,3,1,success,-2.9,92.201,-31.4,0.873,5076.2,0.40433747,154
25,services,divorced,high.school,no,yes,yes,cellular,jun,thu,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0.39994538,155
37,admin.,single,university.degree,no,yes,no,cellular,oct,fri,2,999,0,nonexistent,-3.4,92.431,-26.9,0.72,5017.5,0.39982483,156
49,admin.,single,university.degree,no,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0.39649335,157
41,technician,divorced,university.degree,no,yes,no,cellular,aug,fri,1,999,1,failure,-1.7,94.027,-38.3,0.905,4991.6,0.39591175,158
80,retired,divorced,high.school,no,yes,no,cellular,oct,thu,1,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,0.39544064,159
31,technician,married,professional.course,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0.39315698,160
69,retired,married,university.degree,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0.3920344,161
42,admin.,married,high.school,no,yes,yes,telephone,oct,fri,1,999,0,nonexistent,-0.1,93.798,-40.4,5.045,5195.8,0.39096984,162
50,admin.,married,university.degree,no,no,no,cellular,jul,thu,1,999,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2,0.39080343,163
26,unemployed,single,university.degree,no,yes,no,cellular,apr,tue,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0.3894766,164
48,admin.,married,university.degree,no,no,no,cellular,dec,mon,2,999,0,nonexistent,-3.0,92.713,-33.0,0.717,5023.5,0.38932207,165
45,housemaid,single,basic.4y,no,yes,no,cellular,sep,mon,1,999,0,nonexistent,-3.4,92.379,-29.8,0.797,5017.5,0.38695985,166
43,admin.,married,university.degree,no,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0.38509,167
32,admin.,single,high.school,no,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0.38242623,168
31,admin.,single,university.degree,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0.38227838,169
42,admin.,single,university.degree,no,yes,no,cellular,aug,mon,2,999,0,nonexistent,-1.7,94.027,-38.3,0.898,4991.6,0.38114202,170
59,services,single,high.school,no,yes,no,cellular,mar,fri,2,999,0,nonexistent,-1.8,93.369,-34.8,0.636,5008.7,0.38074455,171
80,retired,married,basic.4y,no,no,no,cellular,oct,tue,2,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,0.37997302,172
38,admin.,married,high.school,no,yes,yes,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0.3796949,173
27,admin.,single,university.degree,no,no,no,cellular,may,fri,1,3,1,success,-1.8,92.893,-46.2,1.259,5099.1,0.37821907,174
45,blue-collar,single,basic.9y,no,yes,no,cellular,aug,wed,1,4,1,success,-2.9,92.201,-31.4,0.879,5076.2,0.3771015,175
28,management,single,university.degree,no,yes,no,cellular,sep,tue,1,999,0,nonexistent,-3.4,92.379,-29.8,0.819,5017.5,0.37404838,176
75,retired,married,basic.9y,no,no,no,cellular,oct,mon,1,999,0,nonexistent,-3.4,92.431,-26.9,0.743,5017.5,0.3725315,177
27,services,single,university.degree,no,no,no,cellular,mar,mon,6,999,1,failure,-1.8,93.369,-34.8,0.652,5008.7,0.37169608,178
51,services,married,high.school,no,no,no,cellular,may,tue,1,999,1,failure,-1.8,93.876,-40.0,0.668,5008.7,0.3708373,179
25,technician,married,professional.course,no,yes,no,cellular,jun,tue,4,999,1,failure,-2.9,92.963,-40.8,1.252,5076.2,0.37014166,180
49,unemployed,married,high.school,no,yes,no,cellular,sep,wed,1,999,0,nonexistent,-3.4,92.379,-29.8,0.768,5017.5,0.37000883,181
71,retired,married,university.degree,no,no,no,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0.3693418,182
54,admin.,married,university.degree,no,yes,no,cellular,mar,mon,1,999,0,nonexistent,-1.8,92.843,-50.0,1.56,5099.1,0.3687334,183
37,admin.,married,university.degree,no,yes,no,cellular,sep,wed,2,999,0,nonexistent,-3.4,92.379,-29.8,0.813,5017.5,0.36766276,184
23,admin.,single,university.degree,no,yes,no,cellular,jul,wed,1,999,2,failure,-1.7,94.215,-40.3,0.881,4991.6,0.36536607,185
49,technician,married,professional.course,no,yes,no,cellular,aug,tue,1,999,1,failure,-2.9,92.201,-31.4,0.883,5076.2,0.36478537,186
34,services,single,high.school,no,no,yes,cellular,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,0.36420438,187
56,entrepreneur,married,university.degree,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0.36235908,188
34,technician,married,professional.course,no,no,no,cellular,jun,thu,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0.3615011,189
46,technician,married,professional.course,no,yes,no,cellular,aug,fri,6,999,1,failure,-2.9,92.201,-31.4,0.869,5076.2,0.35983586,190
63,technician,married,unknown,no,yes,no,cellular,dec,mon,2,999,1,failure,-3.0,92.713,-33.0,0.715,5023.5,0.35899028,191
36,technician,married,professional.course,no,yes,no,cellular,aug,thu,2,999,1,failure,-2.9,92.201,-31.4,0.873,5076.2,0.3584268,192
26,student,single,unknown,no,no,no,cellular,sep,thu,1,999,1,failure,-3.4,92.379,-29.8,0.809,5017.5,0.35801524,193
26,student,single,university.degree,no,no,no,telephone,dec,mon,1,999,0,nonexistent,-3.0,92.713,-33.0,0.709,5023.5,0.3566663,194
45,admin.,single,high.school,no,no,no,cellular,sep,fri,1,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,0.35614622,195
